,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Deanston 18 Year Old,46.3,70,68.95
1,Lagavulin 16 Year Old,43,70,81.75
2,Lochlea Our Barley,46,70,44.95
3,Macallan 12 Year Old,40,70,79.95
4,Caperdonich 18 Year Old Peated,48,70,110
5,Balvenie 14 Year Old,43,70,59.95
6,Ardbeg Ardcore & Uigeadail Duo,50.2,140,180
7,Macallan 18 Year Old Double Cask,43,70,320
8,Macallan 12 Year Old Double Cask,40,70,66.95
9,Mortlach 15 Year Old,46,70,86.95
10,Balvenie 12 Year Old DoubleWood,40,70,46.75
11,Strathisla 2006,59,50,69.95
12,Glenfiddich 18 Year Old,40,70,81.95
13,Personalised Highland Special Reserve Single Malt,48,70,59.95
14,Glendronach 15 Year Old Revival,46,70,69.95
15,Oban Bay Reserve,43,70,62.95
16,Arran 10 Year Old,46,70,38.75
17,Aberlour 2006,60.9,50,89.95
18,Clynelish Reserve,51.2,70,42.95
19,Loch Lomond The Open Special Edition 2022,46,70,42.95
20,Longmorn 2005,61.6,50,74.95
21,Bunnahabhain 12 Year Old,46.3,70,44.95
22,Ardbeg Uigeadail,54.2,70,62.75
23,Loch Lomond The Open Special Edition 2022,46,70,48.95
24,Deanston 18 Year Old,46.3,70,68.95
25,Lagavulin 16 Year Old,43,70,81.75
26,Lochlea Our Barley,46,70,44.95
27,Macallan 12 Year Old,40,70,79.95
28,Caperdonich 18 Year Old Peated,48,70,110
29,Balvenie 14 Year Old,43,70,59.95
30,Ardbeg Ardcore & Uigeadail Duo,50.2,140,180
31,Macallan 18 Year Old Double Cask,43,70,320
32,Macallan 12 Year Old Double Cask,40,70,66.95
33,Mortlach 15 Year Old,46,70,86.95
34,Balvenie 12 Year Old DoubleWood,40,70,46.75
35,Strathisla 2006,59,50,69.95
36,Glenfiddich 18 Year Old,40,70,81.95
37,Personalised Highland Special Reserve Single Malt,48,70,59.95
38,Glendronach 15 Year Old Revival,46,70,69.95
39,Oban Bay Reserve,43,70,62.95
40,Arran 10 Year Old,46,70,38.75
41,Aberlour 2006,60.9,50,89.95
42,Clynelish Reserve,51.2,70,42.95
43,Loch Lomond The Open Special Edition 2022,46,70,42.95
44,Longmorn 2005,61.6,50,74.95
45,Bunnahabhain 12 Year Old,46.3,70,44.95
46,Ardbeg Uigeadail,54.2,70,62.75
